dataset_family,artifact_role,source_file_name,release_relative_path,bytes,sha256,public_access_status
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed47.csv,data/restricted/Mannino/mannino_pool_n150_seed47.csv,4949,7abfcc54bcaacea53324e1f9c659908799a51b17593a40aa362be24ec2770211,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed7.csv,data/restricted/Mannino/mannino_pool_n150_seed7.csv,4946,b690140078605696895f03dd97f82d90898488cdab65f61bf269cad2c0b33545,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed11.csv,data/restricted/Mannino/mannino_pool_n50_seed11.csv,1690,4b3bee061b3d8ec1199044c527a2d7528bde14c0d7138c96eec3a5733a253da6,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed19.csv,data/restricted/Mannino/mannino_pool_n50_seed19.csv,1702,0b5022709ee07ef799b47fed9f5473fe7030571fcb6675163e207006b855900a,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed23.csv,data/restricted/Mannino/mannino_pool_n50_seed23.csv,1698,f7d1176510a6ffc360cb25b6662194590e8c33b4c08356ece2cf03b87c9ddcb9,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed29.csv,data/restricted/Mannino/mannino_pool_n50_seed29.csv,1710,2d851646effbd617dc69ddc9bd178f9b69ab42a11a9ab939622ccb352009c039,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed31.csv,data/restricted/Mannino/mannino_pool_n50_seed31.csv,1692,1bcfbd362fc1a7f44b0ad9e4bcec73ac0cef8152f36e295fa7619c230fa30cf4,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed37.csv,data/restricted/Mannino/mannino_pool_n50_seed37.csv,1709,542c3220f1c976a360f06d62cc92700eee5149558e252d2f0f4a985292d530bd,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed41.csv,data/restricted/Mannino/mannino_pool_n50_seed41.csv,1698,9381abc7b87d5bf65edf01aefa98cd73e0d0ab8d961bf1beaa895a75ddf44ceb,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed43.csv,data/restricted/Mannino/mannino_pool_n50_seed43.csv,1707,34cacd46c5e6f6ac317dde65c9c2f0228b37beb0a8f8c123bfb4cb618f1befb4,hash_only_not_redistributed_pending_explicit_permission
