dataset,n,scenario,seed,gap,gap_component__exact_high_deficit,base_exact_high_deficit,treatment_exact_high_deficit,gap_component__exact_volume_deficit,base_exact_volume_deficit,treatment_exact_volume_deficit,gap_component__exact_volume_excess,base_exact_volume_excess,treatment_exact_volume_excess,gap_component__exact_violation,base_exact_violation,treatment_exact_violation,gap_component__exact_blocked,base_exact_blocked,treatment_exact_blocked,gap_component__exact_ward_excess,base_exact_ward_excess,treatment_exact_ward_excess,gap_component__exact_peak,base_exact_peak,treatment_exact_peak,gap_component__exact_icu_excess,base_exact_icu_excess,treatment_exact_icu_excess,gap_component__exact_overtime,base_exact_overtime,treatment_exact_overtime,delta_blocked,delta_peak,delta_icu_excess,delta_viol,extra_high_missed_by_A,raw_base_components_available,raw_treatment_components_available,dominant_component,dominant_component_value,tail_class
Synthetic,150,nominal,11,-6946004.48,-7500000.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,450000.0,318.0,218.0,72000.0,187.0,115.0,0.0,1.0,1.0,14400.0,39.0,23.0,20500.0,237.0,155.0,-2904.48,633.83,996.89,72.0,16.0,82.0,-100.0,5.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,-7500000.0,catastrophic_loser
Synthetic,150,nominal,19,41113.52000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54000.0,189.0,201.0,68000.0,172.0,104.0,0.0,0.0,0.0,10800.0,35.0,23.0,16500.0,225.0,159.0,-186.48,0.0,23.31,68.0,12.0,66.0,12.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,68000.0,middle
Synthetic,150,nominal,23,112229.04000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49500.0,188.0,177.0,49000.0,160.0,111.0,-7500.0,1.0,4.0,9000.0,30.0,20.0,10750.0,222.0,179.0,1479.04,1029.95,845.07,49.0,10.0,43.0,-11.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,49500.0,middle
Synthetic,150,nominal,29,-10104694.0,-10500000.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,297000.0,243.0,177.0,69000.0,190.0,121.0,-5000.0,1.0,3.0,16200.0,40.0,22.0,19500.0,249.0,171.0,-1394.0,721.41,895.66,69.0,18.0,78.0,-66.0,7.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,-10500000.0,catastrophic_loser
Synthetic,150,nominal,31,8763909.120000001,9000000.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-310500.0,158.0,227.0,55000.0,165.0,110.0,0.0,0.0,0.0,6300.0,40.0,33.0,13000.0,215.0,163.0,109.12000000000036,378.04,364.4,55.0,7.0,52.0,69.0,-6.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,9000000.0,big_winner
Synthetic,150,nominal,37,121818.79999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58500.0,202.0,189.0,45000.0,156.0,111.0,0.0,0.0,0.0,8100.0,39.0,30.0,10500.0,213.0,171.0,-281.20000000000005,64.74,99.89,45.0,9.0,42.0,-13.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,58500.0,middle
Synthetic,150,nominal,41,197429.52,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126000.0,175.0,147.0,50000.0,163.0,113.0,0.0,0.0,0.0,8100.0,32.0,23.0,9500.0,198.0,160.0,3829.52,573.0,94.31,50.0,9.0,38.0,-28.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,126000.0,middle
Synthetic,150,nominal,43,8684294.96,9000000.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-423000.0,192.0,286.0,76000.0,205.0,129.0,0.0,0.0,0.0,11700.0,46.0,33.0,19250.0,250.0,173.0,344.96000000000004,363.58,320.46,76.0,13.0,77.0,94.0,-6.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,9000000.0,big_winner
Synthetic,150,nominal,47,-2724650.0,-3000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,238500.0,214.0,161.0,21000.0,138.0,117.0,0.0,0.0,0.0,8100.0,36.0,27.0,7750.0,238.0,207.0,0.0,14.72,14.72,21.0,9.0,31.0,-53.0,2.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,-3000000.0,catastrophic_loser
Synthetic,150,nominal,7,-1496540.88,-1500000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-99000.0,234.0,256.0,75000.0,174.0,99.0,-2500.0,0.0,1.0,13500.0,35.0,20.0,16500.0,217.0,151.0,-40.88000000000011,203.6,208.71,75.0,15.0,66.0,22.0,1.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,-1500000.0,catastrophic_loser
